Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.07,4080,17.04,21.28,99.24825,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.07,16640,80.39,14.96,102.8876,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.07,4000,132.42,24.04,97.3355,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.07,8160,11.38,21.58,97.79404,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.96,768,17.04,21.28,99.24825,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.96,2656,80.39,14.96,102.8876,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,0.96,15792,82.67,19.65,100.0555,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.96,720,132.42,24.04,97.3355,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,0.96,16912,59.13,9.7,100.5469,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.96,1648,11.38,21.58,97.79404,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.08,2880,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.08,16704,80.39,14.96,102.8876,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.08,3024,132.42,24.04,97.3355,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.08,8112,11.38,21.58,97.79404,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.94,1824,17.04,21.28,99.24825,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.94,9216,80.39,14.96,102.8876,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.94,1776,132.42,24.04,97.3355,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.94,5376,11.38,21.58,97.79404,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.98,4560,17.04,21.28,99.24825,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.98,20000,80.39,14.96,102.8876,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.98,4320,132.42,24.04,97.3355,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.98,10240,11.38,21.58,97.79404,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.3,1230,17.04,21.28,99.24825,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,China,1.3,3150,80.39,14.96,102.8876,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.3,840,132.42,24.04,97.3355,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.3,4695,11.38,21.58,97.79404,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.3,1230,17.04,21.28,99.24825,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,China,1.3,3150,80.39,14.96,102.8876,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.3,840,132.42,24.04,97.3355,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.3,4695,11.38,21.58,97.79404,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.3,1485,17.04,21.28,99.24825,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,China,1.3,3810,80.39,14.96,102.8876,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.3,1005,132.42,24.04,97.3355,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Sweden,1.3,18390,59.13,9.7,100.5469,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.3,18150,11.38,21.58,97.79404,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.3,1485,17.04,21.28,99.24825,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,China,1.3,3810,80.39,14.96,102.8876,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.3,1005,132.42,24.04,97.3355,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Sweden,1.3,18390,59.13,9.7,100.5469,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.3,18150,11.38,21.58,97.79404,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Australia,1.47,3840,17.04,21.28,99.24825,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,China,1.47,10400,80.39,14.96,102.8876,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.47,6480,132.42,24.04,97.3355,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Turkey,1.47,12320,11.38,21.58,97.79404,9
ALGOT BODY,2,BODY,RIB,STORE,China,1.58,2950,80.39,14.96,102.8876,9
ALGOT BODY,2,BODY,RIB,STORE,Mexico,1.58,10850,132.42,24.04,97.3355,9
ALGOT BODY,2,BODY,RIB,STORE,Turkey,1.58,7900,11.38,21.58,97.79404,9
ALGOT BODY,2,BODY,RIB,STORE,China,1.59,9850,80.39,14.96,102.8876,9
ALGOT 2P CAP,2,CAP,RIB,STORE,China,0.75,1092,80.39,14.96,102.8876,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Mexico,0.75,4452,132.42,24.04,97.3355,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Switzerland,0.75,13272,81.43,12.97,99.01547,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Turkey,0.75,3486,11.38,21.58,97.79404,9
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.64,2940,17.04,21.28,99.24825,9
